Date	Price	Open	High	Low	Change
9/8/2008	1.4134	1.4353	1.4428	1.4053	-0.93%
9/9/2008	1.4094	1.4136	1.4226	1.4046	-0.28%
9/10/2008	1.3937	1.4095	1.4179	1.3935	-1.11%
9/11/2008	1.4007	1.3936	1.404	1.3881	0.50%
9/12/2008	1.4223	1.4009	1.4231	1.3971	1.54%
9/15/2008	1.4246	1.4317	1.4481	1.4084	0.16%
9/16/2008	1.4167	1.4245	1.4282	1.4071	-0.55%
9/17/2008	1.4315	1.4168	1.4384	1.4097	1.04%
9/18/2008	1.4302	1.4313	1.4542	1.4278	-0.09%
9/19/2008	1.4467	1.4303	1.4498	1.415	1.15%
9/22/2008	1.4802	1.4491	1.4867	1.4453	2.32%
9/23/2008	1.4684	1.4803	1.4825	1.4622	-0.80%
9/24/2008	1.4651	1.4685	1.4746	1.4603	-0.22%
9/25/2008	1.4663	1.4652	1.4767	1.4561	0.08%
9/26/2008	1.4613	1.4664	1.4677	1.4554	-0.34%
9/29/2008	1.4367	1.4538	1.4569	1.4302	-1.68%
9/30/2008	1.4119	1.4368	1.4426	1.4008	-1.73%
10/1/2008	1.3989	1.412	1.4174	1.3975	-0.92%
10/2/2008	1.3786	1.3988	1.4016	1.3747	-1.45%
10/3/2008	1.377	1.3787	1.3906	1.3702	-0.12%
10/6/2008	1.3517	1.3646	1.367	1.3443	-1.84%
10/7/2008	1.357	1.3515	1.3743	1.3483	0.39%
10/8/2008	1.3609	1.3571	1.3756	1.3545	0.29%
10/9/2008	1.3561	1.361	1.3785	1.3556	-0.35%
10/10/2008	1.3408	1.3563	1.3649	1.3258	-1.13%
10/13/2008	1.3656	1.3601	1.3682	1.3457	1.85%
10/14/2008	1.3564	1.3657	1.3768	1.3562	-0.67%
10/15/2008	1.3436	1.3563	1.3687	1.3424	-0.94%
10/16/2008	1.3488	1.3437	1.3538	1.3345	0.39%
10/17/2008	1.3408	1.3489	1.3517	1.3386	-0.59%
10/20/2008	1.3339	1.3443	1.353	1.3287	-0.51%
10/21/2008	1.3007	1.334	1.3353	1.3001	-2.49%
10/22/2008	1.2773	1.3008	1.3033	1.2727	-1.80%
10/23/2008	1.2899	1.2772	1.3003	1.2733	0.99%
10/24/2008	1.2623	1.29	1.2907	1.2497	-2.14%
10/27/2008	1.2466	1.2624	1.2685	1.2334	-1.24%
10/28/2008	1.2806	1.2467	1.2842	1.233	2.73%
10/29/2008	1.2957	1.2807	1.299	1.2627	1.18%
10/30/2008	1.2867	1.2956	1.3288	1.2805	-0.69%
10/31/2008	1.2727	1.2868	1.2884	1.2668	-1.09%
11/3/2008	1.2614	1.2772	1.2897	1.2576	-0.89%
11/4/2008	1.298	1.2615	1.3048	1.2526	2.90%
11/5/2008	1.2914	1.2981	1.3114	1.2793	-0.51%
11/6/2008	1.2688	1.2911	1.293	1.2674	-1.75%
11/7/2008	1.2717	1.2689	1.285	1.2653	0.23%
11/10/2008	1.2746	1.2824	1.2927	1.2718	0.23%
11/11/2008	1.2512	1.2745	1.28	1.2476	-1.84%
11/12/2008	1.2457	1.2513	1.2631	1.2437	-0.44%
11/13/2008	1.2786	1.2456	1.2854	1.2389	2.64%
11/14/2008	1.2604	1.2787	1.2799	1.2573	-1.42%
11/17/2008	1.2642	1.2522	1.2742	1.2512	0.30%
11/18/2008	1.2636	1.2641	1.27	1.2566	-0.05%
11/19/2008	1.2502	1.2635	1.2813	1.2473	-1.06%
11/20/2008	1.2437	1.2503	1.2593	1.2423	-0.52%
11/21/2008	1.2587	1.2438	1.2637	1.243	1.21%
11/24/2008	1.2915	1.2641	1.2959	1.2563	2.61%
11/25/2008	1.3032	1.2914	1.308	1.2804	0.91%
11/26/2008	1.2897	1.3031	1.3032	1.2819	-1.04%
11/27/2008	1.2894	1.2896	1.2968	1.286	-0.02%
11/28/2008	1.269	1.2893	1.2957	1.2646	-1.58%
12/1/2008	1.2596	1.2672	1.2702	1.2581	-0.74%
12/2/2008	1.2706	1.2595	1.2765	1.2563	0.87%
12/3/2008	1.2706	1.2707	1.274	1.26	0.00%
12/4/2008	1.2771	1.2704	1.2847	1.2552	0.51%
12/5/2008	1.2718	1.2773	1.2797	1.2627	-0.41%
12/8/2008	1.2913	1.2729	1.2966	1.2728	1.53%
12/9/2008	1.2928	1.2911	1.3	1.2799	0.12%
12/10/2008	1.3012	1.2927	1.3069	1.2903	0.65%
12/11/2008	1.3328	1.3013	1.3403	1.3004	2.43%
12/12/2008	1.3369	1.3327	1.3414	1.325	0.31%
12/15/2008	1.3694	1.3441	1.3726	1.343	2.43%
12/16/2008	1.4063	1.3695	1.4147	1.363	2.69%
12/17/2008	1.4406	1.4064	1.4437	1.4008	2.44%
12/18/2008	1.4292	1.4405	1.4719	1.4186	-0.79%
12/19/2008	1.3907	1.4293	1.4309	1.3826	-2.69%
12/22/2008	1.3955	1.3976	1.4124	1.3903	0.35%
12/23/2008	1.3937	1.3956	1.4021	1.3914	-0.13%
12/24/2008	1.3993	1.3936	1.4019	1.3934	0.40%
12/25/2008	1.4015	1.4009	1.4051	1.3974	0.16%
12/26/2008	1.4027	1.4049	1.4116	1.4021	0.09%
12/29/2008	1.4033	1.4105	1.4362	1.3917	0.04%
12/30/2008	1.4139	1.4032	1.422	1.3987	0.76%
12/31/2008	1.3936	1.4138	1.4144	1.3851	-1.44%
1/1/2009	1.399	1.3964	1.4002	1.3946	0.39%
1/2/2009	1.3923	1.3868	1.3986	1.3838	-0.48%
1/5/2009	1.3645	1.3956	1.3962	1.3546	-2.00%
1/6/2009	1.3507	1.3644	1.3644	1.3313	-1.01%
1/7/2009	1.361	1.3508	1.3746	1.3432	0.76%
1/8/2009	1.3696	1.3611	1.3795	1.3533	0.63%
1/9/2009	1.3472	1.3697	1.375	1.3414	-1.64%
1/12/2009	1.3357	1.3417	1.3444	1.3289	-0.85%
1/13/2009	1.3199	1.3358	1.3359	1.3141	-1.18%
1/14/2009	1.3211	1.32	1.3336	1.3093	0.09%
1/15/2009	1.3159	1.3212	1.3239	1.3026	-0.39%
1/16/2009	1.3266	1.3158	1.3343	1.3143	0.81%
1/19/2009	1.3094	1.3358	1.3381	1.3058	-1.30%
1/20/2009	1.2883	1.3093	1.3103	1.2845	-1.61%
1/21/2009	1.3	1.2884	1.3085	1.2824	0.91%
1/22/2009	1.3004	1.2999	1.3082	1.2906	0.03%
1/23/2009	1.2973	1.3003	1.3033	1.2764	-0.24%
1/26/2009	1.3185	1.2896	1.3234	1.2861	1.63%
1/27/2009	1.3213	1.3185	1.3327	1.3118	0.21%
1/28/2009	1.3151	1.3214	1.3325	1.3101	-0.47%
1/29/2009	1.2936	1.3152	1.3177	1.2915	-1.63%
1/30/2009	1.2812	1.2937	1.294	1.2763	-0.96%
2/2/2009	1.2812	1.275	1.2897	1.2706	0.00%
2/3/2009	1.301	1.2812	1.3055	1.2801	1.55%
2/4/2009	1.2853	1.301	1.3069	1.2812	-1.21%
2/5/2009	1.2788	1.2853	1.2904	1.276	-0.51%
2/6/2009	1.2939	1.2787	1.299	1.2746	1.18%
2/9/2009	1.296	1.2957	1.3093	1.2873	0.16%
2/10/2009	1.291	1.2961	1.3074	1.2809	-0.39%
2/11/2009	1.2865	1.2911	1.2996	1.2832	-0.35%
2/12/2009	1.2883	1.2864	1.2942	1.272	0.14%
2/13/2009	1.2862	1.2884	1.2941	1.282	-0.16%
2/16/2009	1.2797	1.2789	1.2825	1.2726	-0.51%
2/17/2009	1.2582	1.2798	1.2799	1.2558	-1.68%
2/18/2009	1.2565	1.2583	1.264	1.2512	-0.14%
2/19/2009	1.2657	1.2566	1.2759	1.2556	0.73%
2/20/2009	1.2826	1.2656	1.2884	1.2557	1.34%
2/23/2009	1.267	1.279	1.2991	1.2664	-1.22%
2/24/2009	1.2871	1.2671	1.2877	1.2662	1.59%
2/25/2009	1.2717	1.287	1.2898	1.269	-1.20%
2/26/2009	1.2717	1.2716	1.281	1.2682	0.00%
2/27/2009	1.2666	1.2716	1.275	1.2604	-0.40%
3/2/2009	1.2561	1.259	1.2631	1.2538	-0.83%
3/3/2009	1.2528	1.2562	1.2677	1.2521	-0.26%
3/4/2009	1.2633	1.2529	1.2663	1.2456	0.84%
3/5/2009	1.2545	1.2632	1.2639	1.248	-0.70%
3/6/2009	1.2653	1.2546	1.2754	1.2538	0.86%
3/9/2009	1.2619	1.2714	1.2726	1.2555	-0.27%
3/10/2009	1.2715	1.262	1.2822	1.261	0.76%
3/11/2009	1.2805	1.2714	1.2864	1.2616	0.71%
3/12/2009	1.2896	1.2804	1.2945	1.2731	0.71%
3/13/2009	1.2929	1.2897	1.2957	1.2862	0.26%
3/16/2009	1.2973	1.288	1.3071	1.2867	0.34%
3/17/2009	1.3031	1.2972	1.3041	1.2931	0.45%
3/18/2009	1.3487	1.3032	1.3534	1.2986	3.50%
3/19/2009	1.366	1.3486	1.3737	1.3416	1.28%
3/20/2009	1.3581	1.3661	1.3726	1.3517	-0.58%
3/23/2009	1.3618	1.3627	1.3735	1.3485	0.27%
3/24/2009	1.3481	1.3617	1.3678	1.3431	-1.01%
3/25/2009	1.3573	1.3481	1.3629	1.3418	0.68%
3/26/2009	1.3527	1.3574	1.3639	1.3493	-0.34%
3/27/2009	1.3287	1.3528	1.3591	1.3256	-1.77%
3/30/2009	1.3188	1.3267	1.3285	1.3112	-0.75%
3/31/2009	1.3256	1.3188	1.3342	1.3173	0.52%
4/1/2009	1.3241	1.3256	1.3285	1.3166	-0.11%
4/2/2009	1.3472	1.3241	1.3517	1.324	1.74%
4/3/2009	1.3485	1.3472	1.3494	1.3365	0.10%
4/6/2009	1.3322	1.3535	1.3581	1.3322	-1.21%
4/7/2009	1.3269	1.3322	1.3396	1.3226	-0.40%
4/8/2009	1.3252	1.3268	1.3308	1.3148	-0.13%
4/9/2009	1.312	1.3251	1.3335	1.3089	-1.00%
4/10/2009	1.3187	1.312	1.3188	1.3092	0.51%
4/13/2009	1.3375	1.3152	1.3392	1.3126	1.43%
4/14/2009	1.3267	1.3375	1.3376	1.3225	-0.81%
4/15/2009	1.3222	1.3267	1.3295	1.3146	-0.34%
4/16/2009	1.3186	1.3222	1.3268	1.3126	-0.27%
4/17/2009	1.3043	1.3186	1.3193	1.3017	-1.08%
4/20/2009	1.2904	1.3007	1.3018	1.2889	-1.07%
4/21/2009	1.2936	1.2904	1.2993	1.2897	0.25%
4/22/2009	1.3007	1.2936	1.3036	1.2884	0.55%
4/23/2009	1.3126	1.3007	1.316	1.2979	0.91%
4/24/2009	1.3241	1.3125	1.33	1.3113	0.88%
4/27/2009	1.3023	1.3218	1.3218	1.2999	-1.65%
4/28/2009	1.3131	1.3023	1.3166	1.2965	0.83%
4/29/2009	1.3266	1.313	1.334	1.312	1.03%
4/30/2009	1.3243	1.3265	1.3385	1.3191	-0.17%
5/1/2009	1.3264	1.3243	1.3327	1.3227	0.16%
5/4/2009	1.3415	1.3288	1.3436	1.3212	1.14%
5/5/2009	1.3304	1.3416	1.3435	1.3282	-0.83%
5/6/2009	1.3299	1.3303	1.3374	1.3246	-0.04%
5/7/2009	1.3386	1.33	1.3468	1.3252	0.65%
5/8/2009	1.3635	1.3386	1.365	1.3342	1.86%
5/11/2009	1.3584	1.3632	1.3667	1.3557	-0.37%
5/12/2009	1.3676	1.3584	1.3707	1.3563	0.68%
5/13/2009	1.3539	1.3676	1.3721	1.3534	-1.00%
5/14/2009	1.3631	1.3539	1.3664	1.3525	0.68%
5/15/2009	1.3495	1.3631	1.3649	1.3461	-1.00%
5/18/2009	1.355	1.3453	1.3563	1.3423	0.41%
5/19/2009	1.3643	1.355	1.3667	1.353	0.69%
5/20/2009	1.3783	1.3643	1.3829	1.3583	1.03%
5/21/2009	1.394	1.3782	1.394	1.3728	1.14%
5/22/2009	1.3997	1.394	1.405	1.39	0.41%
5/25/2009	1.4008	1.4025	1.4027	1.3958	0.08%
5/26/2009	1.3992	1.4008	1.4022	1.386	-0.11%
5/27/2009	1.3832	1.3991	1.3996	1.3823	-1.14%
5/28/2009	1.3948	1.3832	1.3983	1.3793	0.84%
5/29/2009	1.416	1.3947	1.4168	1.3943	1.52%
6/1/2009	1.418	1.4105	1.4245	1.4099	0.14%
6/2/2009	1.4288	1.418	1.4331	1.4101	0.76%
6/3/2009	1.4141	1.4288	1.4338	1.4109	-1.03%
6/4/2009	1.4167	1.4142	1.424	1.407	0.18%
6/5/2009	1.3967	1.4167	1.4266	1.3933	-1.41%
6/8/2009	1.3928	1.3975	1.4002	1.3804	-0.28%
6/9/2009	1.4062	1.3928	1.4101	1.3852	0.96%
6/10/2009	1.3988	1.4062	1.4143	1.3915	-0.53%
6/11/2009	1.4124	1.3988	1.4171	1.3943	0.97%
6/12/2009	1.4015	1.4124	1.4127	1.3935	-0.77%
6/15/2009	1.3774	1.3977	1.3985	1.3755	-1.72%
6/16/2009	1.3815	1.3774	1.3932	1.3748	0.30%
6/17/2009	1.3967	1.3815	1.3984	1.3811	1.10%
6/18/2009	1.3908	1.3968	1.4	1.3871	-0.42%
6/19/2009	1.3937	1.3908	1.4011	1.3882	0.21%
6/22/2009	1.3849	1.3935	1.3935	1.3826	-0.63%
6/23/2009	1.4069	1.3849	1.4107	1.3828	1.59%
6/24/2009	1.3941	1.4069	1.4138	1.3889	-0.91%
6/25/2009	1.401	1.3942	1.4013	1.3889	0.49%
6/26/2009	1.4055	1.401	1.4117	1.4009	0.32%
6/29/2009	1.4098	1.4069	1.4112	1.3982	0.31%
6/30/2009	1.404	1.4098	1.4151	1.4001	-0.41%
7/1/2009	1.4145	1.404	1.4197	1.4001	0.75%
7/2/2009	1.3962	1.4145	1.4148	1.3927	-1.29%
7/3/2009	1.398	1.3962	1.4027	1.3951	0.13%
7/6/2009	1.3992	1.396	1.3998	1.3876	0.09%
7/7/2009	1.3897	1.3992	1.405	1.3888	-0.68%
7/8/2009	1.3862	1.3897	1.3938	1.3832	-0.25%
7/9/2009	1.401	1.3862	1.4071	1.3859	1.07%
7/10/2009	1.3935	1.401	1.4013	1.3878	-0.54%
7/13/2009	1.4004	1.3973	1.4005	1.3897	0.50%
7/14/2009	1.3979	1.4003	1.4014	1.3911	-0.18%
7/15/2009	1.4093	1.3979	1.4134	1.3968	0.82%
7/16/2009	1.4131	1.4093	1.4165	1.4056	0.27%
7/17/2009	1.4101	1.4131	1.4147	1.4063	-0.21%
7/20/2009	1.421	1.4135	1.4248	1.4127	0.77%
7/21/2009	1.4197	1.421	1.4277	1.4163	-0.09%
7/22/2009	1.4203	1.4197	1.4257	1.4156	0.04%
7/23/2009	1.4162	1.4203	1.4291	1.4119	-0.29%
7/24/2009	1.4202	1.4162	1.4253	1.4135	0.28%
7/27/2009	1.4245	1.4193	1.4297	1.4171	0.30%
7/28/2009	1.4145	1.4245	1.4304	1.413	-0.70%
7/29/2009	1.4014	1.4146	1.4194	1.4007	-0.93%
7/30/2009	1.4084	1.4015	1.4095	1.4014	0.50%
7/31/2009	1.4256	1.4083	1.4278	1.4078	1.22%
8/3/2009	1.4408	1.4287	1.4444	1.4206	1.07%
8/4/2009	1.4414	1.4408	1.4431	1.4367	0.04%
8/5/2009	1.4409	1.4415	1.4446	1.4356	-0.03%
8/6/2009	1.437	1.4409	1.4431	1.4329	-0.27%
8/7/2009	1.4182	1.437	1.4412	1.4154	-1.31%
8/10/2009	1.4129	1.4192	1.4218	1.4104	-0.37%
8/11/2009	1.415	1.4129	1.4185	1.411	0.15%
8/12/2009	1.4216	1.415	1.4246	1.4086	0.47%
8/13/2009	1.4273	1.4216	1.4327	1.4209	0.40%
8/14/2009	1.4202	1.4273	1.4306	1.416	-0.50%
8/17/2009	1.4106	1.4166	1.417	1.4045	-0.68%
8/18/2009	1.4166	1.4106	1.4172	1.4069	0.43%
8/19/2009	1.4249	1.4166	1.4266	1.4084	0.59%
8/20/2009	1.4254	1.4248	1.4274	1.42	0.04%
8/21/2009	1.4325	1.4254	1.4375	1.4208	0.50%
8/24/2009	1.4292	1.4339	1.4359	1.4281	-0.23%
8/25/2009	1.4283	1.4292	1.4362	1.4253	-0.06%
8/26/2009	1.4236	1.4282	1.435	1.4206	-0.33%
8/27/2009	1.4369	1.4236	1.4405	1.4219	0.93%
8/28/2009	1.4302	1.4369	1.4388	1.4281	-0.47%
8/31/2009	1.4335	1.4303	1.4367	1.4256	0.23%
9/1/2009	1.4208	1.4335	1.4376	1.4177	-0.89%
9/2/2009	1.4272	1.4208	1.4293	1.4189	0.45%
9/3/2009	1.4255	1.4272	1.4347	1.4236	-0.12%
9/4/2009	1.4295	1.4254	1.4326	1.4191	0.28%
9/7/2009	1.4332	1.432	1.4358	1.4317	0.26%
9/8/2009	1.4501	1.4333	1.4533	1.4328	1.18%
9/9/2009	1.4548	1.45	1.4599	1.4466	0.32%
9/10/2009	1.458	1.4549	1.4612	1.4502	0.22%
9/11/2009	1.457	1.4579	1.4633	1.4553	-0.07%
9/14/2009	1.4639	1.4576	1.4651	1.4515	0.47%
9/15/2009	1.467	1.4639	1.4685	1.4561	0.21%
9/16/2009	1.4708	1.467	1.4736	1.4641	0.26%
9/17/2009	1.4731	1.4708	1.4765	1.4688	0.16%
9/18/2009	1.4711	1.4731	1.4737	1.4647	-0.14%
9/21/2009	1.4682	1.4703	1.4712	1.4611	-0.20%
9/22/2009	1.4809	1.4682	1.4841	1.4682	0.87%
9/23/2009	1.4727	1.4808	1.4843	1.4686	-0.55%
9/24/2009	1.465	1.4728	1.4802	1.4623	-0.52%
9/25/2009	1.4688	1.465	1.4724	1.4614	0.26%
9/28/2009	1.4621	1.4708	1.4712	1.4564	-0.46%
9/29/2009	1.4593	1.4621	1.4645	1.4527	-0.19%
9/30/2009	1.4653	1.4593	1.4673	1.4575	0.41%
10/1/2009	1.4514	1.4653	1.4668	1.4511	-0.95%
10/2/2009	1.4574	1.4514	1.4646	1.4484	0.41%
10/5/2009	1.4656	1.4596	1.4668	1.4591	0.56%
10/6/2009	1.472	1.4656	1.4761	1.4654	0.44%
10/7/2009	1.4713	1.472	1.4735	1.4649	-0.05%
10/8/2009	1.4769	1.4713	1.4815	1.4703	0.38%
10/9/2009	1.473	1.4769	1.4777	1.4672	-0.26%
10/12/2009	1.4789	1.4718	1.4812	1.4675	0.40%
10/13/2009	1.4848	1.4789	1.4874	1.4761	0.40%
10/14/2009	1.4931	1.4848	1.4944	1.4838	0.56%
10/15/2009	1.4953	1.493	1.4966	1.4842	0.15%
10/16/2009	1.4904	1.4952	1.4965	1.4847	-0.33%
10/19/2009	1.4967	1.4891	1.4979	1.4827	0.42%
10/20/2009	1.493	1.4967	1.4993	1.4882	-0.25%
10/21/2009	1.5013	1.493	1.5045	1.4888	0.56%
10/22/2009	1.5024	1.5012	1.5037	1.4944	0.07%
10/23/2009	1.5007	1.5025	1.5059	1.4986	-0.11%
10/26/2009	1.4857	1.4992	1.5062	1.4845	-1.00%
10/27/2009	1.4819	1.4857	1.4926	1.477	-0.26%
10/28/2009	1.4715	1.482	1.484	1.4693	-0.70%
10/29/2009	1.4838	1.4716	1.4858	1.4683	0.84%
10/30/2009	1.4719	1.4838	1.4857	1.4703	-0.80%
11/2/2009	1.4772	1.4703	1.4844	1.4703	0.36%
11/3/2009	1.4731	1.4772	1.481	1.4626	-0.28%
11/4/2009	1.4865	1.4731	1.4908	1.4702	0.91%
11/5/2009	1.4876	1.4865	1.4916	1.4811	0.07%
11/6/2009	1.4846	1.4876	1.4913	1.4813	-0.20%
11/9/2009	1.4996	1.4864	1.5019	1.4853	1.01%
11/10/2009	1.4991	1.5007	1.5019	1.4938	-0.03%
11/11/2009	1.4985	1.4991	1.5048	1.4953	-0.04%
11/12/2009	1.4856	1.4985	1.5016	1.4821	-0.86%
11/13/2009	1.4902	1.4856	1.4937	1.4824	0.31%
11/16/2009	1.4982	1.4957	1.5015	1.4885	0.54%
11/17/2009	1.4874	1.4983	1.4998	1.4808	-0.72%
11/18/2009	1.4954	1.4874	1.499	1.4869	0.54%
11/19/2009	1.4913	1.4954	1.4956	1.4843	-0.27%
11/20/2009	1.4861	1.4913	1.4934	1.4801	-0.35%
11/23/2009	1.4958	1.4868	1.4998	1.4868	0.65%
11/24/2009	1.4965	1.4958	1.4988	1.4888	0.05%
11/25/2009	1.5125	1.4966	1.5144	1.4961	1.07%
11/26/2009	1.4967	1.5125	1.5138	1.4938	-1.04%
11/27/2009	1.4987	1.4967	1.5001	1.4828	0.13%
11/30/2009	1.5035	1.4998	1.5083	1.4973	0.32%
12/1/2009	1.5089	1.5034	1.5116	1.4971	0.36%
12/2/2009	1.5065	1.5089	1.5109	1.5032	-0.16%
12/3/2009	1.5062	1.5065	1.514	1.5037	-0.02%
12/4/2009	1.4856	1.5062	1.5089	1.482	-1.37%
12/7/2009	1.4838	1.487	1.4903	1.4754	-0.12%
12/8/2009	1.4691	1.4837	1.4866	1.4668	-0.99%
12/9/2009	1.4736	1.4691	1.4781	1.4674	0.31%
12/10/2009	1.4729	1.4737	1.476	1.4684	-0.05%
12/11/2009	1.4614	1.4729	1.4775	1.4586	-0.78%
12/14/2009	1.4657	1.4624	1.4685	1.4607	0.29%
12/15/2009	1.4541	1.4656	1.4658	1.4504	-0.79%
12/16/2009	1.4524	1.454	1.4589	1.4505	-0.12%
12/17/2009	1.4344	1.4524	1.453	1.4304	-1.24%
12/18/2009	1.4335	1.4344	1.4411	1.4261	-0.06%
12/21/2009	1.4285	1.4331	1.4372	1.4265	-0.35%
12/22/2009	1.4254	1.4285	1.4331	1.4218	-0.22%
12/23/2009	1.4335	1.4254	1.4366	1.4234	0.57%
12/24/2009	1.4354	1.4335	1.4417	1.433	0.13%
12/25/2009	1.4397	1.4375	1.4436	1.4362	0.30%
12/28/2009	1.4372	1.4373	1.4413	1.4353	-0.17%
12/29/2009	1.434	1.4372	1.4457	1.4331	-0.22%
12/30/2009	1.434	1.434	1.436	1.4272	0.00%
12/31/2009	1.4331	1.434	1.444	1.4306	-0.06%
1/1/2010	1.4326	1.4325	1.433	1.4319	-0.03%
1/4/2010	1.4424	1.4315	1.4454	1.4257	0.68%
1/5/2010	1.4364	1.4424	1.4483	1.4347	-0.42%
1/6/2010	1.4402	1.4364	1.4434	1.4283	0.26%
1/7/2010	1.4317	1.4402	1.4446	1.4299	-0.59%
1/8/2010	1.4408	1.4317	1.4426	1.4263	0.64%
1/11/2010	1.4507	1.4464	1.4554	1.4462	0.69%
1/12/2010	1.4475	1.4507	1.4545	1.4454	-0.22%
1/13/2010	1.4522	1.4475	1.4579	1.4456	0.32%
1/14/2010	1.4499	1.4522	1.4555	1.4448	-0.16%
1/15/2010	1.4386	1.4499	1.4502	1.4337	-0.78%
1/18/2010	1.4403	1.4369	1.4408	1.4335	0.12%
1/19/2010	1.4281	1.4403	1.4413	1.4253	-0.85%
1/20/2010	1.4113	1.4282	1.4288	1.4082	-1.18%
1/21/2010	1.4098	1.4113	1.4142	1.4028	-0.11%
1/22/2010	1.4136	1.4098	1.4181	1.4086	0.27%
1/25/2010	1.4147	1.4154	1.4194	1.4128	0.08%
1/26/2010	1.4082	1.4147	1.4178	1.4042	-0.46%
1/27/2010	1.4028	1.4081	1.4096	1.3994	-0.38%
1/28/2010	1.3963	1.4028	1.4052	1.3946	-0.46%
1/29/2010	1.3861	1.3963	1.3987	1.3861	-0.73%
2/1/2010	1.3922	1.3875	1.3938	1.3852	0.44%
2/2/2010	1.3975	1.392	1.3976	1.3886	0.38%
2/3/2010	1.3897	1.3975	1.4025	1.3883	-0.56%
2/4/2010	1.3742	1.3897	1.3902	1.3715	-1.12%
2/5/2010	1.3678	1.3742	1.3745	1.3585	-0.47%
2/8/2010	1.3655	1.3642	1.3713	1.3621	-0.17%
2/9/2010	1.3781	1.3655	1.3838	1.3649	0.92%
2/10/2010	1.3748	1.378	1.3812	1.3677	-0.24%
2/11/2010	1.3687	1.3748	1.38	1.3596	-0.44%
2/12/2010	1.3631	1.3687	1.3688	1.3531	-0.41%
2/15/2010	1.3597	1.3623	1.3632	1.3578	-0.25%
2/16/2010	1.3764	1.3597	1.3778	1.3588	1.23%
2/17/2010	1.3607	1.3764	1.3788	1.3586	-1.14%
2/18/2010	1.3467	1.3607	1.3654	1.3443	-1.03%
2/19/2010	1.3612	1.3466	1.3617	1.3453	1.08%
2/22/2010	1.3606	1.3629	1.3653	1.3575	-0.04%
2/23/2010	1.3523	1.3606	1.3691	1.3496	-0.61%
2/24/2010	1.3542	1.3524	1.3625	1.3502	0.14%
2/25/2010	1.3535	1.3542	1.357	1.345	-0.05%
2/26/2010	1.3631	1.3535	1.3683	1.3534	0.71%
3/1/2010	1.3561	1.3638	1.3654	1.346	-0.51%
3/2/2010	1.3621	1.3561	1.3622	1.3435	0.44%
3/3/2010	1.37	1.362	1.3735	1.3592	0.58%
3/4/2010	1.3582	1.3699	1.3712	1.3551	-0.86%
3/5/2010	1.362	1.3582	1.363	1.353	0.28%
3/8/2010	1.3618	1.3637	1.3704	1.3606	-0.01%
3/9/2010	1.3605	1.3618	1.3635	1.3537	-0.10%
3/10/2010	1.3643	1.3606	1.3679	1.3544	0.28%
3/11/2010	1.3684	1.3643	1.3686	1.3621	0.30%
3/12/2010	1.3768	1.3684	1.3795	1.3669	0.61%
3/15/2010	1.3673	1.3773	1.3774	1.3642	-0.69%
3/16/2010	1.3767	1.3673	1.3782	1.3657	0.69%
3/17/2010	1.3736	1.3767	1.3817	1.3726	-0.23%
3/18/2010	1.3611	1.3736	1.3739	1.3586	-0.91%
3/19/2010	1.353	1.3611	1.3626	1.3503	-0.60%
3/22/2010	1.3567	1.3512	1.3569	1.3463	0.27%
3/23/2010	1.3468	1.3566	1.3567	1.3458	-0.73%
3/24/2010	1.333	1.3468	1.3485	1.3305	-1.02%
3/25/2010	1.3305	1.333	1.3386	1.3267	-0.19%
3/26/2010	1.3408	1.3305	1.3423	1.3301	0.77%
3/29/2010	1.3476	1.3446	1.3506	1.3417	0.51%
3/30/2010	1.3434	1.3476	1.3537	1.3395	-0.31%
3/31/2010	1.3526	1.3433	1.3548	1.3384	0.68%
4/1/2010	1.3586	1.3526	1.359	1.346	0.44%
4/2/2010	1.3503	1.3586	1.3588	1.3475	-0.61%
4/5/2010	1.3466	1.3494	1.3538	1.346	-0.27%
4/6/2010	1.3381	1.3466	1.3466	1.3355	-0.63%
4/7/2010	1.333	1.3381	1.3401	1.3325	-0.38%
4/8/2010	1.3374	1.333	1.3383	1.3282	0.33%
4/9/2010	1.3498	1.3373	1.3498	1.3341	0.93%
4/12/2010	1.3586	1.3657	1.3691	1.3566	0.65%
4/13/2010	1.3615	1.3586	1.3627	1.3546	0.21%
4/14/2010	1.3657	1.3616	1.3678	1.3596	0.31%
4/15/2010	1.3565	1.3657	1.3666	1.3521	-0.67%
4/16/2010	1.3502	1.3565	1.3566	1.3473	-0.46%
4/19/2010	1.3488	1.3475	1.3495	1.3416	-0.10%
4/20/2010	1.3422	1.3488	1.3522	1.3419	-0.49%
4/21/2010	1.3387	1.3422	1.3447	1.3358	-0.26%
4/22/2010	1.3222	1.3387	1.3421	1.3202	-1.23%
4/23/2010	1.3381	1.3222	1.3399	1.3206	1.20%
4/26/2010	1.3394	1.3364	1.3415	1.3292	0.10%
4/27/2010	1.3178	1.3393	1.3394	1.3144	-1.61%
4/28/2010	1.3197	1.3178	1.3265	1.3114	0.14%
4/29/2010	1.325	1.3196	1.3278	1.3184	0.40%
4/30/2010	1.3294	1.325	1.3342	1.3225	0.33%
5/3/2010	1.3194	1.3312	1.3312	1.3154	-0.75%
5/4/2010	1.2977	1.3195	1.3213	1.2962	-1.64%
5/5/2010	1.2816	1.2977	1.2996	1.2789	-1.24%
5/6/2010	1.2654	1.2816	1.2856	1.2527	-1.26%
